,title,studio,year,total_gross,runtime_minutes,averagerating,numvotes,primary_genre,sub_genre,other_genre
2063,Gods of Egypt,LG/S,2016,150700000,127.0,5.4,95111,Action,Adventure,Fantasy
2068,Sausage Party,Sony,2016,140700000,89.0,6.2,159111,Adventure,Animation,Comedy
2069,Lion,Wein.,2016,140300000,118.0,8.1,181601,Biography,Drama,
2073,Deepwater Horizon,LG/S,2016,121800000,107.0,7.1,133303,Action,Drama,History
2074,Allied,Par.,2016,119500000,124.0,7.1,125741,Action,Drama,Romance
2075,The Shallows,Sony,2016,119100000,86.0,6.3,106927,Drama,Horror,Thriller
2076,The Purge: Election Year,Uni.,2016,118600000,108.0,6.0,80254,Action,Horror,Sci-Fi
2077,Why Him?,Fox,2016,118100000,111.0,6.2,89628,Comedy,,
2079,How to Be Single,WB (NL),2016,112300000,110.0,6.1,74329,Comedy,Drama,Romance
2080,10 Cloverfield Lane,Par.,2016,110200000,103.0,7.2,260383,Drama,Horror,Mystery
2081,The 5th Wave,Sony,2016,109900000,112.0,5.2,90788,Action,Adventure,Drama
2082,Neighbors 2: Sorority Rising,Uni.,2016,108100000,92.0,5.7,102793,Comedy,,
2086,Dirty Grandpa,LGF,2016,94100000,102.0,5.9,101393,Comedy,,
2087,Money Monster,TriS,2016,93300000,98.0,6.5,86607,Crime,Drama,Thriller
2089,Collateral Beauty,WB (NL),2016,88500000,97.0,6.8,78764,Drama,Romance,
2090,Train to Busan,WGUSA,2016,87500000,118.0,7.5,109448,Action,Horror,Thriller
2093,War Dogs,WB,2016,86200000,114.0,7.1,154029,Comedy,Crime,Drama
2408,Star Wars: The Last Jedi,BV,2017,1332600000,152.0,7.1,462903,Action,Adventure,Fantasy
2409,The Fate of the Furious,Uni.,2017,226000000,136.0,6.7,179774,Action,Crime,Thriller
2410,Despicable Me 3,Uni.,2017,1034800000,89.0,6.3,92580,Adventure,Animation,Comedy
2411,Jumanji: Welcome to the Jungle,Sony,2017,962100000,119.0,7.0,242735,Action,Adventure,Comedy
2412,Spider-Man: Homecoming,Sony,2017,880200000,133.0,7.5,426302,Action,Adventure,Sci-Fi
2414,Guardians of the Galaxy Vol. 2,BV,2017,863700000,136.0,7.7,482917,Action,Adventure,Comedy
2415,Thor: Ragnarok,BV,2017,854000000,130.0,7.9,482995,Action,Adventure,Comedy
2416,Wonder Woman,WB,2017,821900000,141.0,7.5,487527,Action,Adventure,Fantasy
2419,Coco,BV,2017,807100000,105.0,8.4,277194,Adventure,Animation,Comedy
2421,Pirates of the Caribbean: Dead Men Tell No Tales,BV,2017,794900000,129.0,6.6,228592,Action,Adventure,Fantasy
2422,It,WB (NL),2017,700400000,135.0,7.4,359123,Horror,Thriller,
2423,Justice League,WB,2017,657900000,120.0,6.5,329135,Action,Adventure,Fantasy
2424,Transformers: The Last Knight,Par.,2017,605499999,154.0,5.2,119007,Action,Adventure,Sci-Fi
2425,Kong: Skull Island,WB,2017,566700000,118.0,6.6,237720,Action,Adventure,Fantasy
2426,The Boss Baby,Fox,2017,528000000,97.0,6.3,93730,Adventure,Animation,Comedy
2427,Dunkirk,WB,2017,525200000,106.0,7.9,466580,Action,Drama,History
2428,War for the Planet of the Apes,Fox,2017,490700000,140.0,7.5,201943,Action,Adventure,Drama
2429,The Greatest Showman,Fox,2017,435000000,105.0,7.6,199663,Biography,Drama,Musical
2430,Kingsman: The Golden Circle,Fox,2017,410900000,141.0,6.8,230797,Action,Adventure,Comedy
2432,Fifty Shades Darker,Uni.,2017,381600000,118.0,4.6,81706,Drama,Romance,
2433,Your Name.,FUN,2017,358000000,106.0,8.4,134084,Animation,Drama,Fantasy
2434,The Great Wall,Uni.,2017,334900000,103.0,6.0,111602,Action,Adventure,Fantasy
2436,Resident Evil: The Final Chapter,SGem,2017,312200000,107.0,5.6,74979,Action,Horror,Sci-Fi
2437,Annabelle: Creation,WB (NL),2017,306500000,109.0,6.5,90402,Horror,Mystery,Thriller
2438,Wonder,LGF,2017,305900000,113.0,8.0,111632,Drama,Family,
2446,Blade Runner 2049,WB,2017,259300000,164.0,8.0,376241,Drama,Mystery,Sci-Fi
2447,Get Out,Uni.,2017,255400000,104.0,7.7,400474,Horror,Mystery,Thriller
2451,Alien: Covenant,Fox,2017,240900000,122.0,6.4,226920,Horror,Sci-Fi,Thriller
2452,Baby Driver,TriS,2017,226900000,113.0,7.6,363977,Action,Crime,Drama
2453,Valerian and the City of a Thousand Planets,STX,2017,225900000,137.0,6.5,139792,Action,Adventure,Fantasy
2454,Geostorm,WB,2017,221600000,109.0,5.3,78287,Action,Sci-Fi,Thriller
2458,The Shape of Water,FoxS,2017,195300000,123.0,7.3,308112,Adventure,Drama,Fantasy
2460,The Post,Fox,2017,179800000,116.0,7.2,108017,Biography,Drama,History
2461,Baywatch,Par.,2017,177900000,116.0,5.6,137528,Action,Comedy,Crime
2462,The Hitman's Bodyguard,LG/S,2017,176600000,118.0,6.9,161764,Action,Comedy,Thriller
2464,Darkest Hour,Focus,2017,150900000,125.0,7.4,136546,Biography,Drama,History
2465,King Arthur: Legend of the Sword,WB,2017,148700000,126.0,6.8,169054,Action,Adventure,Drama
2466,The Foreigner,STX,2017,145400000,113.0,7.0,81288,Action,Thriller,
2469,American Made,Uni.,2017,134800000,115.0,7.2,131043,Action,Biography,Comedy
2472,Happy Death Day,Uni.,2017,125500000,96.0,6.5,87132,Horror,Mystery,Thriller
2474,The Dark Tower,Sony,2017,113200000,95.0,5.7,107518,Action,Adventure,Fantasy
2478,Atomic Blonde,Focus,2017,100000000,115.0,6.7,150407,Action,Mystery,Thriller
2719,Avengers: Infinity War,BV,2018,678800000,149.0,8.5,670926,Action,Adventure,Sci-Fi
2720,Black Panther,BV,2018,1347000000,134.0,7.3,516148,Action,Adventure,Sci-Fi
2721,Jurassic World: Fallen Kingdom,Uni.,2018,1309500000,128.0,6.2,219125,Action,Adventure,Sci-Fi
2722,Incredibles 2,BV,2018,1242800000,118.0,7.7,203510,Action,Adventure,Animation
2723,Aquaman,WB,2018,1147800000,143.0,7.1,263328,Action,Adventure,Fantasy
2724,Bohemian Rhapsody,Fox,2018,903600000,134.0,8.0,345466,Biography,Drama,Music
2725,Mission: Impossible - Fallout,Par.,2018,791200000,147.0,7.8,233877,Action,Adventure,Thriller
2726,Deadpool 2,Fox,2018,779000000,119.0,7.8,391735,Action,Adventure,Comedy
2727,Fantastic Beasts: The Crimes of Grindelwald,WB,2018,653700000,134.0,6.6,163151,Adventure,Family,Fantasy
2728,Ant-Man and the Wasp,BV,2018,622600000,118.0,7.1,244024,Action,Adventure,Comedy
2729,Ready Player One,WB,2018,582900000,140.0,7.5,301660,Action,Adventure,Sci-Fi
2732,The Meg,WB,2018,530200000,113.0,5.7,114042,Action,Horror,Sci-Fi
2733,Ralph Breaks the Internet,BV,2018,529200000,112.0,7.1,85694,Adventure,Animation,Comedy
2735,Bumblebee,Par.,2018,468000000,114.0,6.9,94155,Action,Adventure,Sci-Fi
2736,Solo: A Star Wars Story,BV,2018,393000000,135.0,7.0,226243,Action,Adventure,Fantasy
2745,Green Book,Uni.,2018,319800000,130.0,8.3,204972,Biography,Comedy,Drama
2746,Skyscraper,Uni.,2018,304800000,102.0,5.8,81193,Action,Adventure,Thriller
2747,Tomb Raider,WB,2018,274700000,119.0,6.3,163560,Action,Adventure,Fantasy
2748,Crazy Rich Asians,WB,2018,238500000,120.0,7.0,96617,Comedy,Romance,
2751,Creed II,MGM,2018,214000000,130.0,7.2,72503,Drama,Sport,
2752,The Equalizer 2,Sony,2018,190400000,121.0,6.7,97963,Action,Crime,Thriller
2759,Red Sparrow,Fox,2018,151600000,140.0,6.6,136738,Action,Drama,Thriller
2763,The Commuter,LGF,2018,119900000,105.0,6.3,83114,Action,Mystery,Thriller
2764,Game Night,WB (NL),2018,117700000,100.0,7.0,163279,Action,Comedy,Crime
2766,First Man,Uni.,2018,105700000,141.0,7.4,120009,Biography,Drama,History
2771,A Simple Favor,LGF,2018,97600000,117.0,6.9,83338,Comedy,Crime,Drama
2772,The Favourite,FoxS,2018,96000000,119.0,7.6,116011,Biography,Drama,History
2781,BlacKkKlansman,Focus,2018,93300000,135.0,7.5,149005,Biography,Crime,Drama
2783,Mortal Engines,Uni.,2018,83700000,128.0,6.1,70193,Action,Adventure,Fantasy
