,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,international_gross,genre_ids
1449,76,27-Feb-15,The Lazarus Effect,5,25,38,13,[]
1450,76,27-Feb-15,The Lazarus Effect,5,25,38,13,"[thriller, horror]"
1451,78,26-Aug-11,Our Idiot Brother,5,24,25,1,"[comedy, drama]"
1452,79,9-Mar-18,The Strangers: Prey at Night,5,24,29,5,"[horror, thriller]"
1453,83,5-Jul-13,The Way Way Back,5,21,26,5,"[comedy, drama]"
1454,84,29-Aug-14,"As Above, So Below",5,21,41,20,"[horror, thriller]"
1455,90,19-Feb-16,Race,5,19,23,4,"[action, drama]"
1456,92,16-Jan-15,Still Alice,5,18,41,23,[drama]
1457,94,2-Sep-11,Apollo 18,5,17,26,9,"[horror, thriller, sci-fi]"
1458,95,23-Mar-18,"Paul, Apostle of Christ",5,17,25,8,[history]
1459,3,15-Mar-13,Spring Breakers,5,14,31,17,"[drama, crime]"
1460,4,9-Jun-17,It Comes at Night,5,13,19,6,[horror]
1461,12,3-Mar-17,Before I Fall,5,12,18,6,"[drama, mystery, thriller, fantasy]"
1462,15,29-Jan-16,Fifty Shades of Black,5,11,22,11,"[romance, comedy]"
1463,21,17-Mar-17,The Belko Experiment,5,10,11,1,"[action, thriller]"
1464,22,11-Mar-16,The Perfect Match,5,9,10,1,"[comedy, romance]"
1465,31,28-May-10,Sea Rex 3D: Journey to a Prehistoric World,5,6,16,10,[documentary]
1466,39,2-Dec-16,Incarnate,5,4,9,5,"[horror, thriller]"
1467,45,3-Mar-17,Table 19,5,3,4,1,"[comedy, drama]"
1468,49,4-Mar-16,The Other Side of the Door,5,3,12,9,"[thriller, horror]"
1469,51,10-Oct-14,Kill the Messenger,5,2,6,4,"[thriller, crime, drama, mystery]"
1470,52,17-Dec-10,Rabbit Hole,5,2,6,4,[drama]
1471,54,28-Dec-16,Paterson,5,2,10,8,"[comedy, drama, romance]"
1472,54,28-Dec-16,Paterson,5,2,10,8,"[comedy, drama, romance]"
1473,1,23-Jan-15,Mommy,4,3,17,14,[drama]
1474,9,30-Sep-11,Take Shelter,4,1,4,3,"[thriller, drama]"
1475,32,25-Mar-16,The Lobster,4,9,18,9,"[thriller, comedy, drama, romance, sci-fi]"
1476,32,25-Mar-16,The Lobster,4,9,18,9,"[thriller, comedy, drama, romance, sci-fi]"
1477,33,4-Oct-96,Bound,4,3,7,4,"[thriller, drama]"
1478,71,13-Aug-10,Animal Kingdom,4,1,8,7,"[drama, thriller, crime, mystery]"
1479,81,23-Jan-15,The Boy Next Door,4,36,53,17,[drama]
1480,81,23-Jan-15,The Boy Next Door,4,36,53,17,[thriller]
1481,85,11-Jul-14,Boyhood,4,25,57,32,[drama]
1482,87,9-Jul-10,The Kids Are All Right,4,20,36,16,"[comedy, drama]"
1483,89,18-Apr-14,A Haunted House 2,4,17,21,4,"[comedy, horror]"
1484,90,1-Mar-13,The Last Exorcism Part II,4,15,25,10,"[horror, thriller, drama]"
1485,18,24-Aug-12,Samsara,4,2,5,3,"[drama, documentary]"
1486,91,13-Apr-18,Truth or Dare,3,41,95,54,"[horror, thriller, mystery]"
1487,91,13-Apr-18,Truth or Dare,3,41,95,54,[horror]
1488,91,13-Apr-18,Truth or Dare,3,41,95,54,[action]
1489,91,13-Apr-18,Truth or Dare,3,41,95,54,[horror]
1490,91,13-Apr-18,Truth or Dare,3,41,95,54,"[thriller, horror]"
1491,94,19-Feb-16,The Witch,3,25,40,15,"[mystery, horror]"
1492,94,19-Feb-16,The Witch,3,25,40,15,"[mystery, horror]"
1493,95,2-Feb-18,Winchester,3,25,44,19,"[fantasy, mystery, thriller, horror]"
1494,96,6-Dec-02,Empire,3,17,18,1,[]
1495,97,22-Feb-13,Dark Skies,3,17,27,10,"[sci-fi, thriller, horror]"
1496,37,21-Oct-11,Margin Call,3,5,20,15,"[thriller, drama]"
1497,43,10-Oct-14,Whiplash,3,13,38,25,"[drama, music]"
1498,43,10-Oct-14,Whiplash,3,13,38,25,"[drama, music]"
1499,54,6-Jul-18,Sorry to Bother You,3,17,18,1,"[fantasy, sci-fi, comedy]"
1500,57,3-Jun-11,Beginners,3,5,14,9,"[drama, romance, comedy]"
1501,58,22-Apr-16,The Meddler,3,4,5,1,"[comedy, drama]"
1502,65,20-Oct-10,Paranormal Activity 2,3,84,177,93,"[horror, thriller]"
1503,66,28-Aug-15,War Room,3,67,73,6,"[drama, romance]"
1504,67,7-Jun-13,The Purge,3,64,91,27,"[sci-fi, horror, thriller]"
1505,69,12-Oct-12,Sinister,3,48,87,39,"[mystery, horror]"
1506,69,12-Oct-12,Sinister,3,48,87,39,"[horror, thriller, mystery]"
1507,89,1-Jun-18,Upgrade,3,11,16,5,"[action, thriller, sci-fi]"
1508,99,24-May-13,Before Midnight,3,8,23,15,"[romance, drama]"
1509,1,31-Jul-09,The Collector,3,7,10,3,"[drama, romance]"
1510,10,24-Jun-16,Swiss Army Man,3,4,5,1,"[comedy, drama, romance, fantasy, adventure]"
1511,14,17-May-13,Frances Ha,3,4,11,7,"[comedy, drama]"
1512,14,17-May-13,Frances Ha,3,4,11,7,"[comedy, drama]"
1513,21,22-Apr-16,Compadres,3,3,7,4,"[action, comedy]"
1514,25,9-Apr-10,Letters to God,3,2,3,1,"[drama, family]"
1515,26,16-Oct-98,Happiness,3,2,5,3,[documentary]
1516,29,12-May-17,The Wall,3,1,4,3,"[sci-fi, drama]"
1517,29,12-May-17,The Wall,3,1,4,3,"[thriller, war, drama]"
1518,3,2-May-14,Ida,2,3,15,12,[drama]
1519,12,11-Jan-13,A Haunted House,2,40,59,19,"[comedy, horror]"
1520,25,24-Jun-16,Hunt for the Wilderpeople,2,5,23,18,"[adventure, comedy, drama]"
1521,26,17-Aug-12,Robot & Frank,2,3,4,1,"[sci-fi, comedy, drama, crime]"
1522,60,20-Mar-15,Do You Believe?,2,12,14,2,"[fantasy, drama]"
1523,87,30-Sep-11,Courageous,2,34,35,1,[drama]
1524,94,13-Mar-15,It Follows,2,14,23,9,"[horror, thriller]"
1525,94,13-Mar-15,It Follows,2,14,23,9,"[horror, thriller]"
1526,95,13-Jul-18,Eighth Grade,2,13,14,1,"[comedy, drama]"
1527,97,9-Mar-12,Silent House,2,12,16,4,"[horror, mystery]"
1528,100,8-Apr-16,Hardcore Henry,2,9,17,8,"[action, adventure, sci-fi]"
1529,8,11-Jun-10,Winter's Bone,2,6,16,10,[drama]
1530,11,6-Oct-17,The Florida Project,2,5,11,6,[drama]
1531,17,8-Oct-10,Inside Job,2,4,7,3,[documentary]
1532,20,28-Aug-15,We Are Your Friends,2,3,10,7,"[drama, music, romance, comedy]"
1533,35,7-Aug-15,The Diary of a Teenage Girl,2,1,2,1,"[drama, romance]"
1534,37,25-Apr-14,Locke,2,1,2,1,"[drama, thriller]"
1535,2,24-Sep-10,Buried,1,1,21,20,"[drama, thriller, mystery]"
1536,6,8-Oct-10,Nowhere Boy,1,1,7,6,[drama]
1537,15,27-Aug-10,The Last Exorcism,1,41,70,29,"[horror, drama, thriller]"
1538,18,27-Jun-12,Beasts of the Southern Wild,1,12,23,11,"[drama, fantasy, adventure]"
1539,42,28-Feb-14,The Lunchbox,1,4,12,8,"[drama, romance]"
1540,63,1-Apr-11,Insidious,1,54,99,45,"[horror, thriller]"
1541,64,21-Oct-16,Moonlight,1,27,65,38,[drama]
1542,64,21-Oct-16,Moonlight,1,27,65,38,[drama]
1543,65,12-Sep-03,Cabin Fever,1,21,30,9,[horror]
1544,70,23-Mar-18,Unsane,1,7,14,7,"[horror, thriller]"
1545,71,21-Jul-95,Kids,1,7,20,13,[documentary]
1546,71,21-Jul-95,Kids,1,7,20,13,[drama]
1547,77,26-Jul-13,The To Do List,1,3,4,1,"[comedy, romance]"
1548,82,18-Jan-85,Blood Simple,1,1,2,1,"[crime, drama, thriller]"
1549,51,17-Oct-14,Dear White People,1,4,5,1,"[comedy, drama]"
1550,57,29-Oct-04,Saw,1,55,103,48,"[horror, mystery, crime]"
1551,12,6-Jan-12,The Devil Inside,1,53,101,48,"[thriller, horror]"
1552,14,17-Apr-15,Unfriended,1,32,64,32,"[horror, thriller]"
1553,17,23-Aug-13,You're Next,1,18,26,8,"[horror, thriller, mystery]"
1554,18,25-May-12,Chernobyl Diaries,1,18,42,24,"[horror, thriller]"
1555,25,29-Dec-10,Blue Valentine,1,9,16,7,"[drama, romance]"
1556,25,29-Dec-10,Blue Valentine,1,9,16,7,"[drama, romance]"
1557,29,20-Jul-18,Unfriended: Dark Web,1,8,16,8,[horror]
1558,31,25-Sep-15,The Green Inferno,1,7,12,5,"[action, adventure, horror, thriller]"
1559,32,3-Feb-17,I Am Not Your Negro,1,7,9,2,[documentary]
1560,33,19-Oct-12,The Sessions,1,6,11,5,"[drama, romance, comedy]"
1561,42,21-Oct-11,Martha Marcy May Marlene,1,2,5,3,"[drama, thriller]"
1562,52,7-Dec-01,No Man's Land,1,1,2,1,[drama]
1563,52,7-Dec-01,No Man's Land,1,1,2,1,"[drama, crime, western, thriller]"
1564,52,7-Dec-01,No Man's Land,1,1,2,1,[documentary]
