,Unnamed: 0,clean_title,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,title,studio,domestic_grossbom,foreign_grossbom,year,worldwide_grossbom,Sport,Crime,News,Romance,Sci-Fi,Western,Horror,Drama,Family,nan,Mystery,Musical,Fantasy,Adventure,Documentary,Thriller,Comedy,Reality-TV,Music,History,Action,Animation
3256,105587,the partys over,tt6173020,The Party's Over,La f̻te est finie,2017,93.0,Drama,6,24-Oct-03,The Party's Over,1000000,0,0,0,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3257,105597,derailed,tt6173644,Derailed,Doo namja,2016,107.0,"Action,Crime",19,11-Nov-05,Derailed,22000000,36020063,57520063,21500000,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3258,105617,posledniy bogatyr,tt6175394,Posledniy bogatyr,Posledniy bogatyr,2017,114.0,"Action,Adventure,Comedy",50,31-Dec-17,Posledniy bogatyr,8500000,0,30700192,30700192,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
3259,105661,twins,tt6178382,Twins,Twins,2016,8.0,"Adventure,Biography,Comedy",100,9-Dec-88,Twins,15000000,111936388,216600000,104663612,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
3260,105665,venus,tt6178628,Venus,Venus,2016,80.0,Documentary,62,21-Dec-06,Venus,6000000,3347411,7818479,4471068,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3261,105667,new in town,tt6179182,New in Town,New in Town,2017,95.0,"Adventure,Comedy,Fantasy",90,30-Jan-09,New in Town,8000000,16734283,29937909,13203626,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
3262,105677,joy,tt6180144,Joy,Joy,2016,80.0,Drama,88,25-Dec-15,Joy,60000000,56451232,101134059,44682827,Joy,Fox,56500000.0,44700000.0,2015.0,101200000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3263,105721,smallfoot,tt6182908,Smallfoot,Smallfoot,2018,96.0,"Adventure,Animation,Comedy",69,28-Sep-18,Smallfoot,80000000,83240103,213691277,130451174,Smallfoot,WB,83200000.0,130900000.0,2018.0,214100000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
3264,105742,let there be light,tt6184774,Let There Be Light,Let There Be Light,2017,80.0,Documentary,3,27-Oct-17,Let There Be Light,3000000,7233471,7241309,7838,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3265,106052,trapped,tt6206564,Trapped,Trapped,2016,105.0,"Action,Drama,Thriller",87,20-Sep-02,Trapped,30000000,6916869,6916869,0,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
3266,106080,motherhood,tt6208138,Motherhood,Motherhood,2017,74.0,"Drama,Romance",22,23-Oct-09,Motherhood,10000000,93388,723388,630000,,,,,,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3267,106102,phenomenon,tt6209808,Phenomenon,Padideh,2017,,Drama,90,5-Jul-96,Phenomenon,32000000,104636382,152036382,47400000,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3268,106175,the journey,tt6213758,The Journey,The Journey,2017,82.0,"Drama,Thriller",59,11-Jul-03,The Journey,500000,19800,19800,0,The Journey,IFC,155000.0,,2017.0,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3269,106205,one day,tt6214734,One Day,One Day,2017,118.0,"Drama,Fantasy",84,19-Aug-11,One Day,15000000,13843771,59168692,45324921,One Day,Focus,13800000.0,45500000.0,2011.0,59300000.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3270,106217,stolen,tt6215338,Stolen,Stolen,2016,86.0,"Crime,Drama",53,14-Sep-12,Stolen,35000000,289773,17967746,17677973,,,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3271,106656,ravenous,tt6243140,Ravenous,Les affam̩s,2017,104.0,"Drama,Horror,Sci-Fi",27,19-Mar-99,Ravenous,12000000,2062406,2062406,0,,,,,,,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3272,106701,the judge,tt6246092,The Judge,The Judge,2017,76.0,Documentary,41,10-Oct-14,The Judge,50000000,47119388,76119388,29000000,The Judge,WB,47100000.0,37300000.0,2014.0,84400000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3273,106779,role models,tt6253546,Role Models,Role Models,2017,132.0,"Comedy,Drama",43,7-Nov-08,Role Models,28000000,67300955,94500826,27199871,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3274,106885,the town,tt6259458,The Town,The Town,2012,101.0,Horror,92,17-Sep-10,The Town,37000000,92186262,152566881,60380619,The Town,WB,92200000.0,61800000.0,2010.0,154000000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3275,107000,a ghost story,tt6265828,A Ghost Story,A Ghost Story,2017,92.0,"Drama,Fantasy,Romance",86,7-Jul-17,A Ghost Story,100000,1594798,2769782,1174984,A Ghost Story,A24,1600000.0,,2017.0,,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3276,107016,vice,tt6266538,Vice,Vice,2018,132.0,"Biography,Comedy,Drama",100,25-Dec-18,Vice,60000000,47836282,70883171,23046889,Vice,Annapurna,47800000.0,28200000.0,2018.0,76000000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3277,107082,black or white,tt6270540,Black or White,Black or White,2016,135.0,"Action,Drama,Thriller",80,30-Jan-15,Black or White,9000000,21571189,21971021,399832,Black or White,Rela.,21600000.0,,2015.0,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
3278,107322,teeth,tt6285370,Teeth,Teeth,2016,20.0,"Documentary,History",48,18-Jan-08,Teeth,2000000,347578,2350641,2003063,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
3279,107376,patti cake$,tt6288250,Patti Cake$,Patti Cake$,2017,109.0,"Drama,Music",56,18-Aug-17,Patti Cake$,1000000,800148,1471090,670942,Patti Cake$,FoxS,800000.0,682000.0,2017.0,1482000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3280,107480,virus,tt6294496,Virus,Virus,2016,,Crime,69,15-Jan-99,Virus,75000000,14010690,30626690,16616000,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3281,107482,the post,tt6294822,The Post,The Post,2017,116.0,"Biography,Drama,History",9,22-Dec-17,The Post,50000000,81903458,179748880,97845422,The Post,Fox,81900000.0,97900000.0,2017.0,179800000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3282,107525,no strings attached,tt6298204,No Strings Attached,No Strings Attached,2016,,Animation,84,21-Jan-11,No Strings Attached,25000000,70662220,149228078,78565858,No Strings Attached,Par.,70700000.0,78600000.0,2011.0,149300000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3283,107611,nomad,tt6305342,Nomad,G̦̤ebe,2017,,Drama,37,16-Mar-07,Nomad,40000000,79123,79123,0,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3284,107627,adrift,tt6306064,Adrift,Adrift,2018,96.0,"Action,Adventure,Biography",89,1-Jun-18,Adrift,35000000,31445011,57897191,26452180,Adrift,STX,31400000.0,28500000.0,2018.0,59900000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
3285,107671,alpha,tt6313896,Alpha,Alpha,2016,90.0,"Crime,Drama,Fantasy",79,17-Aug-18,Alpha,51000000,35851379,99624873,63773494,Alpha,Studio 8,35900000.0,62300000.0,2018.0,98200000.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3286,107678,brothers,tt6314294,Brothers,Broeders,2017,93.0,Drama,41,4-Dec-09,Brothers,26000000,28544157,45043870,16499713,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3287,107678,brothers,tt6314294,Brothers,Broeders,2017,93.0,Drama,8,14-Aug-15,Brothers,13000000,656688,17856688,17200000,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3288,107717,adam,tt6316466,Adam,Adam,2019,95.0,Comedy,59,29-Jul-09,Adam,3200000,2283291,2834485,551194,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3289,107766,identity,tt6319346,Identity,Identity,2018,93.0,"Crime,Drama",52,25-Apr-03,Identity,28000000,52131264,82183683,30052419,,,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3290,107811,the hunted,tt6323218,The Hunted,The Hunted,2016,77.0,Thriller,28,14-Mar-03,The Hunted,55000000,34234008,47213095,12979087,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3291,107851,wanderlust,tt6326352,Wanderlust,Wanderlust,2017,58.0,Drama,88,24-Feb-12,Wanderlust,32500000,17288155,24159934,6871779,Wanderlust,Uni.,17500000.0,4200000.0,2012.0,21700000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
